,run,epoch,loss,valid_loss,test_loss,decision_loss,epoch duration,run duration,lr,batch_size,likelihood_fn,dropout_rate,random_noise,k,model_arch
17,18,1,1.6765950221739623,1.2625802369280295,1.448004986345768,1.2625802369280295,0.5263268947601318,0.5263721942901611,0.001,32,gumbel,0,0,7,"('MLP', [50, 50])"
18,19,1,1.6942975639469093,1.2297366359694437,1.4993655311742,1.2297366359694437,0.5754988193511963,0.5755476951599121,0.001,32,gumbel,0,0,8,"('MLP', [50, 50])"
19,20,1,1.7188176740203382,1.3849656187336554,1.4013407853245736,1.3849656187336554,0.5555100440979004,0.5555789470672607,0.001,32,gumbel,0,0,9,"('MLP', [50, 50])"
20,21,1,6.73439477868827,3.0334999329513974,1.4836372153179065,3.0334999329513974,0.5696296691894531,0.5696885585784912,0.001,32,halfnormal,0,0,0,"('MLP', [50, 50])"
21,22,1,5.499653723584601,2.525046582249078,1.996165441615241,2.525046582249078,0.5450489521026611,0.5451076030731201,0.001,32,halfnormal,0,0,1,"('MLP', [50, 50])"
22,23,1,2.152330073981713,2.367181367833506,6.578582748770714,2.367181367833506,0.5280354022979736,0.528099775314331,0.001,32,halfnormal,0,0,2,"('MLP', [50, 50])"
23,24,1,3.021463772303918,2.4033161826770413,1.6227486671026174,2.4033161826770413,0.5701084136962891,0.5701651573181152,0.001,32,halfnormal,0,0,3,"('MLP', [50, 50])"
24,25,1,4.603802418708801,1.4873347940797708,6.599128659282412,1.4873347940797708,0.590120792388916,0.5901799201965332,0.001,32,halfnormal,0,0,4,"('MLP', [50, 50])"
25,26,1,4.3446538738582445,2.774316289292818,3.0695828802528835,2.774316289292818,0.547825813293457,0.5479094982147217,0.001,32,halfnormal,0,0,5,"('MLP', [50, 50])"
26,27,1,3.5022951558658053,2.984061547385698,1.3009325116872787,2.984061547385698,0.5738887786865234,0.5739450454711914,0.001,32,halfnormal,0,0,6,"('MLP', [50, 50])"
27,28,1,3.928551893809746,2.750715882940726,1.8530174106359483,2.750715882940726,0.5805554389953613,0.5806150436401367,0.001,32,halfnormal,0,0,7,"('MLP', [50, 50])"
28,29,1,3.284446229040623,2.8678173564205114,1.6943419378783022,2.8678173564205114,0.5945658683776855,0.5946292877197266,0.001,32,halfnormal,0,0,8,"('MLP', [50, 50])"
29,30,1,3.7507586956200516,3.2935746660964056,1.7468999114632606,3.2935746660964056,0.5500195026397705,0.5500779151916504,0.001,32,halfnormal,0,0,9,"('MLP', [50, 50])"
